subject_id,experiment_version,condition,seed,age_group,family_id,room,date,age_mos,age_day_count,experimenter,pilot,exclude,complete,notes,exclude_round_1,exclude_round_2,exclude_round_3,exclude_round_4,participant_level_exclusion,parent_exp_mentions_animal,selection_role_issues,further_review
p001,pilot_1A,,,3,1070b,fishbowl,7/19/22,42,11,MZ,y,y,,"completed up to (not including) 2nd pre-test
data file unfortunately not recorded to Pavlovia
no demographic survey",y,y,y,y,y,n,n,n
p002,pilot_1A,,,4,51b,outside,7/19/22,59,3,MZ,y,y,,"completed up to (not including) 2nd post-test (experimenter filled out final trials to allow data storage); subject id not stored in experiment data - corresponds to data file ""coact-v1_PARTICIPANT_SESSION_2022-07-19_10h54.17.643.csv""
caregiver mentioned names of animals as she selected them
no demographic survey",y,y,y,y,y,y,n,n
p003,pilot_1B,,,3,4058b,fishbowl,7/20/22,39,26,MZ,y,y,y,"experiment glitched during first learning phase (caregiver+child)
restarted from beginning (great from there)
parent survey completed after experiment
no demographic survey",y,y,y,y,y,n,n,n
p004,pilot_1C,0,100,5,219b,fishbowl,7/25/22,71,5,JH,y,y,y,"didn't need much instruction once we started
caught on right away that first two trials were repeated in pre-test and post-test (familiarization)
wanted to go faster (began pressing center button repeatedly until it turned red in test trials) - allowed this so child could stay engaged
in 4th condition (p-p), child sometimes pressed red button for/instead of caregiver (reminded child to let caregiver press first, then it was their turn)
break after 2nd block worked very well",y,y,y,y,y,n,y,n
p005,pilot_1C,1,100,5,489b,fishbowl,9/20/22,71,1,MZ,y,y,y,great!,n,n,n,n,y,n,n,n
p006,exp_v1,0,100,3,1052b,fishbowl,9/24/22,36,26,MZ,n,n,y?,"had a hard time getting through the study,  somewhat distracted/ slow/ bored starting round 2 and especially round 4; tried out lots of ways of tapping/ flipping the screen, so I had to help tap at many points; especially last few rounds, did not seem to be attending to the task in selecting animals; parent was great;",n,n,n,n,n,n,n,n
p007,exp_v1,1,101,4,1824b,fishbowl,9/29/22,48,16,AG,n,n,n ,"chatty and seemed to have a good time, got distracted/bored during second block. break seemed to really help, but still wanted to go back to main room after 3rd block. ended after 3rd block. ",n,n,n,y,n,n,n,n
p008,exp_v1,0,100,3,3548b,fishbowl,9/30/22,38,21,AG,n,n,y,"super quiet, could tell she got a little tired into the second round but she enjoyed the break. needed a break between rounds 3 and 4 as well. tapped the screen a lot (bc she was tapping with her nail and not her finger)",n,n,n,n,n,n,n,n
p009,exp_v1,2,102,5,462b,fishbowl,10/4/22,60,16,AG,n,n,y,"wanted to go super quickly, one selection error, tapping very quickly",n,n,n,n,n,n,n,y
p010,exp_v1,3,103,5,2321a,fishbowl,10/5/22,62,8,AG,n,n,y,"went perfectly! no hiccups, good pace, no selection errors ",n,n,n,n,n,n,n,n
p011,exp_v1,4,104,5,4481a,fishbowl ,10/5/22,62,4,AG,n,n,y,"EXCLUDE 4th round only; one selection error, and button went black during the fourth round of parent + child selection (I have a screenshot) so I had to restart the fourth round ",n,n,n,y,n,n,n,n
p012,exp_v1,5,105,5,4243a,fishbowl,10/5/22,69,13,MZ,n,n,y,"great - seemed to think that he was ""correct"" for every animal in the first two rounds, then noticed that he had gotten one wrong (""Oh THAT'S the echidna"") during second round. Occasionally asked parent to choose specific animals (maybe 1-2 times)",n,n,n,n,n,n,n,n
p013,exp_v1,6,106,4,17b,fishbowl,10/6/22,54,13,MZ,n,n,y,"first round was really tough to get through and I originally thought he would not make it beyond round 1. I had to make several selections for him (1 is chameleon, check tape for other one)  in round 1 - he had a very strong reaction whenever unknown words popped up and didn't want to make selections. I figured out a strategy in round 2 where I had him tell me when to ""stop"" and make a selection for him when he didn't want to respond, so round 2 was a mix of his responses and ""stop"" responses during *pretest*. Round 2 went ok, then warmed up quite a lot after break and made it through the last two rounds great. If round 1 is included check video for specific responses to exclude. Check round 2 as well, round 3 and 4 were pretty smooth. Sampling went smooth in *all* 4 rounds.",y,n,n,n,n,n,n,y
p014,exp_v1,7,107,4,2671a,fishbowl,10/7/22,57,25,MZ,n,n,y,ideal appointment. 1-2 helped make a selection in later rounds,n,n,n,n,n,n,n,n
p015,exp_v1,8,108,3,2342b,fishbowl,10/7/22,40,7,ER,n,n,y,"ella's first appointment, mostly smooth except i might have prompted too much for difficult questions",n,n,n,n,n,n,n,n
p016,exp_v1,9,109,4,2045b,fishbowl,10/8/22,55,3,MZ,n,n,y,great. sister was in the room coloring during study (but did not interfere in any way),n,n,n,n,n,n,n,n
p017,exp_v1,10,110,4,3618a,fishbowl,10/10/22,54,29,ER,n,n?,y,"mom informed they were bilingual (Korean) beforehand but would try and stick to English so they spoke in Korean for some of the time; he would look through pictures if he knew the animal but on the harder ones would often just tap randomly; i tried to prompt him to stop and slow down but it was hard to tell the difference between random clicking and guessing

it says in the registry that he hears 20% English, 80% language 2",n?,n?,n?,n?,y,n,n,y
p018,exp_v1,11,111,3,1888c,fishbowl,10/12/22,38,18,AG,n,y,n ,"kid was very energetic and was tapping like crazy. during round 2 and 3, she was explcit about kjnowing the right answers but choosing the ones she was interested in --> ""i know butterfly is that one but im choosing this one""",?,y,y,NA,y,n,n,y
p019,exp_v1,12,112,5,565b ,fishbowl,10/12/22,68,6,AG,n,n,y,great! only minor problem was that she accidentally tapped for mom in the passive sampling phase,n,n,n,n,n,n,y,y
